Title,Link
"Electrolux profit lags expectations in challenging markets, shares down 10%",https://finance.yahoo.com/news/electrolux-q3-operating-profit-lags-061304477.html
Treasury Yields Slip While Asian Equities Falter: Markets Wrap,https://finance.yahoo.com/news/us-stocks-bonds-resume-climb-223016271.html
Sanofi profit growth beats market view on early start of vaccine sales,https://finance.yahoo.com/news/sanofi-q3-earnings-beat-market-053210276.html
Holcim Earnings Climb on US Market Aiding Margin Expansion,https://finance.yahoo.com/news/holcim-earnings-climb-us-market-045234880.html
Morning Bid: Markets enter the eye of risk-event storm,https://finance.yahoo.com/news/morning-bid-markets-enter-eye-043746537.html
Elon Musk added over $30 billion to his net worth in a day on Tesla's post-earnings stock surge,https://autos.yahoo.com/elon-musk-added-over-30-203413818.html
"Asian stocks are mostly higher, while Japan's Nikkei falls ahead of weekend election",https://finance.yahoo.com/news/asian-stocks-mostly-higher-while-043204055.html
Regulator calls Australia's Macquarie 'reckless' over futures trading breach,https://finance.yahoo.com/news/regulator-calls-australias-macquarie-reckless-042646654.html
"Hedge funds have cut most Chinese stock purchase since late September, says Goldman",https://finance.yahoo.com/news/hedge-funds-cut-most-chinese-035823958.html
Billionaire investor David Einhorn says buying HP stock is a cheap way into the AI craze,https://finance.yahoo.com/news/billionaire-investor-david-einhorn-says-030022617.html
